label,prevalence_old,precision_old,recall_old,f1_old,fp_rate_old,fn_rate_old,support_old,prevalence_new,precision_new,recall_new,f1_new,fp_rate_new,fn_rate_new,support_new,delta_prevalence,delta_precision,delta_recall,delta_f1,delta_fp_rate,delta_fn_rate
Surprise,0.005121638924455826,0.2,0.25,0.2222222222222222,0.005121638924455826,0.0038412291933418692,4,0.006402048655569782,0.4,0.4,0.4,0.0038412291933418692,0.0038412291933418692,5,0.0012804097311139564,0.2,0.15000000000000002,0.1777777777777778,-0.0012804097311139564,0.0
Joie,0.034571062740076826,0.3888888888888889,0.25925925925925924,0.3111111111111111,0.014084507042253521,0.02560819462227913,27,0.03841229193341869,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.010243277848911651,0.02560819462227913,30,0.003841229193341865,0.16666666666666669,0.07407407407407407,0.10555555555555557,-0.00384122919334187,0.0
Fierté,0.005121638924455826,0.6,0.75,0.6666666666666666,0.002560819462227913,0.0012804097311139564,4,0.0038412291933418692,0.6,1.0,0.75,0.002560819462227913,0.0,3,-0.0012804097311139564,0.0,0.25,0.08333333333333337,0.0,-0.0012804097311139564
Embarras,0.0012804097311139564,0.047619047619047616,1.0,0.09090909090909091,0.02560819462227913,0.0,1,0.002560819462227913,0.09523809523809523,1.0,0.17391304347826086,0.024327784891165175,0.0,2,0.0012804097311139564,0.047619047619047616,0.0,0.08300395256916995,-0.0012804097311139538,0.0
Jalousie,0.0076824583866837385,0.0,0.0,0.0,0.0,0.0076824583866837385,6,0.0076824583866837385,0.0,0.0,0.0,0.0,0.0076824583866837385,6,0.0,0.0,0.0,0.0,0.0,0.0
Dégoût,0.10755441741357234,0.0,0.0,0.0,0.0,0.10755441741357234,84,0.10243277848911651,0.0,0.0,0.0,0.0,0.10243277848911651,80,-0.005121638924455829,0.0,0.0,0.0,0.0,-0.005121638924455829
Culpabilité,0.0038412291933418692,0.0,0.0,0.0,0.0,0.0038412291933418692,3,0.0038412291933418692,0.0,0.0,0.0,0.0,0.0038412291933418692,3,0.0,0.0,0.0,0.0,0.0,0.0
Admiration,0.0012804097311139564,0.0,0.0,0.0,0.0,0.0012804097311139564,1,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0012804097311139564,0.0,0.0,0.0,0.0,-0.0012804097311139564
Tristesse,0.01792573623559539,0.1,0.14285714285714285,0.11764705882352941,0.023047375160051217,0.015364916773367477,14,0.01792573623559539,0.1,0.14285714285714285,0.11764705882352941,0.023047375160051217,0.015364916773367477,14,0.0,0.0,0.0,0.0,0.0,0.0
Colère,0.44430217669654287,0.6694915254237288,0.2276657060518732,0.33978494623655914,0.0499359795134443,0.34314980793854033,347,0.3713188220230474,0.5847457627118644,0.23793103448275862,0.3382352941176471,0.06274007682458387,0.28297055057618437,290,-0.07298335467349548,-0.0847457627118644,0.010265328430885429,-0.0015496521189120593,0.012804097311139566,-0.060179257362355965
Autre,0.07810499359795134,0.0967741935483871,0.14754098360655737,0.11688311688311688,0.10755441741357234,0.06658130601792574,61,0.0793854033290653,0.08602150537634409,0.12903225806451613,0.1032258064516129,0.1088348271446863,0.06914212548015365,62,0.0012804097311139573,-0.010752688172043001,-0.01850872554204125,-0.013657310431503977,0.0012804097311139573,0.0025608194622279146
Peur,0.008962868117797696,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0038412291933418692,0.0038412291933418692,7,0.005121638924455826,0.2857142857142857,0.5,0.36363636363636365,0.006402048655569782,0.002560819462227913,4,-0.00384122919334187,-0.2857142857142857,-0.0714285714285714,-0.20779220779220775,0.002560819462227913,-0.0012804097311139564
