,feature,importance
7,text_length,0.31016966677347285
8,word_count,0.1199255521365047
2,insulte,0.09886581803665365
23,HATE_OAG,0.075761859421333
31,VERBAL_ABUSE_DNG,0.0379995750156756
3,mépris / haine,0.0337358462987905
5,abréviation,0.024636670435804007
17,ROLE_bully_support,0.022718685874380515
48,CONTEXT_DFN,0.02003511871565203
4,argot,0.01891205661387336
54,SENTIMENT_NEU,0.01815530598562655
9,pct_uppercase,0.017524953968205345
13,domain_Obésité,0.015916846978630987
25,TARGET_bully,0.013458112641500609
34,VERBAL_ABUSE_OTH,0.013452569460577548
11,has_question,0.013268343316152759
45,CONTEXT_ATK,0.013228838496294583
12,domain_Homophobie,0.01101685762796406
53,SENTIMENT_NEG,0.010513180578786134
16,ROLE_bully,0.010338619008422145
28,TARGET_victim,0.0099405130380038
37,INTENTION_ATK,0.009783002066115522
14,domain_Racisme,0.00937163888353779
26,TARGET_bully_support,0.009332908104687905
40,INTENTION_DFN,0.009212856858251161
6,interjection,0.008555892824547447
20,ROLE_victim_support,0.007946513560922075
51,CONTEXT_MISSING,0.005349892255719511
15,domain_Religion,0.004146619597561781
18,ROLE_conciliator,0.003824743484846437
21,HATE_CAG,0.0030753791658168547
46,CONTEXT_CNS,0.002855459223986121
1,ironie,0.0026559237456355383
24,TARGET_MISSING,0.0022372566841498353
43,INTENTION_OTH,0.0019334404516487148
38,INTENTION_CNS,0.0016273394165558421
33,VERBAL_ABUSE_NCG,0.0014252779432385471
19,ROLE_victim,0.0014207801800439122
32,VERBAL_ABUSE_MISSING,0.001416919395822393
22,HATE_NAG,0.0012114623781672113
52,CONTEXT_OTH,0.0010038124181607274
36,INTENTION_AIN,0.0005814875991207012
29,TARGET_victim_support,0.0004609933310449651
35,VERBAL_ABUSE_THR,0.0003527038162411456
27,TARGET_conciliator,0.0002726479119380893
39,INTENTION_CR,0.000258198982804437
47,CONTEXT_CR,0.000111859297130654
0,elongation,0.0
10,has_exclamation,0.0
30,VERBAL_ABUSE_BLM,0.0
41,INTENTION_EMP,0.0
42,INTENTION_GSL,0.0
44,CONTEXT_AIN,0.0
49,CONTEXT_EMP,0.0
50,CONTEXT_GSL,0.0
55,SENTIMENT_POS,0.0
