emotion,mode,n_both,observed_error,expected_error,interaction_effect,err_e,err_m,global_err,type
Tristesse,Désignée,4,0.0625,0.1652,-0.1027,0.131,0.1019,0.0676,synergy
Peur,Désignée,3,0.0278,0.1294,-0.1017,0.0952,0.1019,0.0676,synergy
Joie,Désignée,8,0.0521,0.1453,-0.0932,0.1111,0.1019,0.0676,synergy
Autre,Désignée,10,0.0833,0.1708,-0.0875,0.1366,0.1019,0.0676,synergy
Autre,Suggérée,13,0.1282,0.1869,-0.0587,0.1366,0.1179,0.0676,synergy
Dégoût,Montrée,75,0.1622,0.2112,-0.0489,0.1647,0.1141,0.0676,synergy
Colère,Montrée,274,0.1116,0.155,-0.0434,0.1085,0.1141,0.0676,synergy
Tristesse,Suggérée,6,0.1389,0.1813,-0.0424,0.131,0.1179,0.0676,synergy
Colère,Comportementale,78,0.1026,0.1435,-0.041,0.1085,0.1026,0.0676,synergy
Colère,Suggérée,47,0.1223,0.1588,-0.0365,0.1085,0.1179,0.0676,synergy
Peur,Suggérée,3,0.1111,0.1455,-0.0344,0.0952,0.1179,0.0676,synergy
Jalousie,Désignée,6,0.1667,0.2009,-0.0342,0.1667,0.1019,0.0676,synergy
Dégoût,Désignée,10,0.1667,0.1989,-0.0322,0.1647,0.1019,0.0676,synergy
Peur,Montrée,3,0.1667,0.1417,0.025,0.0952,0.1141,0.0676,conflict
Autre,Comportementale,9,0.1481,0.1716,-0.0235,0.1366,0.1026,0.0676,synergy
Tristesse,Montrée,7,0.1548,0.1774,-0.0227,0.131,0.1141,0.0676,synergy
Autre,Montrée,41,0.1606,0.1831,-0.0225,0.1366,0.1141,0.0676,synergy
Colère,Désignée,13,0.1218,0.1428,-0.021,0.1085,0.1019,0.0676,synergy
Dégoût,Suggérée,12,0.1944,0.215,-0.0205,0.1647,0.1179,0.0676,synergy
Fierté,Désignée,3,0.0556,0.0759,-0.0203,0.0417,0.1019,0.0676,synergy
Joie,Montrée,17,0.1471,0.1576,-0.0105,0.1111,0.1141,0.0676,synergy
Joie,Suggérée,7,0.1667,0.1614,0.0053,0.1111,0.1179,0.0676,conflict
Dégoût,Comportementale,9,0.1944,0.1997,-0.0052,0.1647,0.1026,0.0676,synergy
Tristesse,Comportementale,3,0.1667,0.1659,0.0007,0.131,0.1026,0.0676,conflict
